Barramento;Vmin_pu;Vmax_pu;Vmed_pu;DRP_%;DRC_%;Status
bt627021;0.9760;0.9927;0.9863;0.00;0.00;adequada
bt9121;0.9768;0.9948;0.9885;0.00;0.00;adequada
bt74161;0.9772;1.0039;0.9908;0.00;0.00;adequada
bt74171;0.9768;1.0055;0.9912;0.00;0.00;adequada
bt332061;0.9901;0.9990;0.9953;0.00;0.00;adequada
bt391341;0.9902;0.9991;0.9953;0.00;0.00;adequada
bt332071;0.9898;0.9989;0.9951;0.00;0.00;adequada
bt376811;0.9906;0.9992;0.9957;0.00;0.00;adequada
bt332031;0.9906;0.9992;0.9957;0.00;0.00;adequada
bt332051;0.9904;0.9991;0.9955;0.00;0.00;adequada
bt8901;0.9827;0.9966;0.9909;0.00;0.00;adequada
bt71931;0.9900;0.9992;0.9956;0.00;0.00;adequada
bt71941;0.9915;0.9995;0.9964;0.00;0.00;adequada
bt48472;0.9861;0.9960;0.9921;0.00;0.00;adequada
bt65581;0.9862;0.9976;0.9937;0.00;0.00;adequada
bt10601;0.9831;0.9964;0.9915;0.00;0.00;adequada
bt331961;0.9908;0.9993;0.9958;0.00;0.00;adequada
bt331971;0.9908;0.9993;0.9958;0.00;0.00;adequada
bt331962;0.9901;0.9990;0.9952;0.00;0.00;adequada
bt331981;0.9908;0.9993;0.9958;0.00;0.00;adequada
bt332001;0.9905;0.9992;0.9956;0.00;0.00;adequada
bt332041;0.9906;0.9992;0.9956;0.00;0.00;adequada
bt622631;1.0007;1.0022;1.0016;0.00;0.00;adequada
bt8891;0.9827;0.9966;0.9909;0.00;0.00;adequada
bt26451;0.9807;0.9960;0.9904;0.00;0.00;adequada
bt21902;0.9684;0.9928;0.9843;0.00;0.00;adequada
bt366851;0.9823;1.0083;0.9954;0.00;0.00;adequada
bt366841;0.9823;1.0083;0.9954;0.00;0.00;adequada
bt71901;0.9955;1.0003;0.9983;0.00;0.00;adequada
bt106791;0.9910;0.9994;0.9960;0.00;0.00;adequada
bt106821;0.9910;0.9994;0.9960;0.00;0.00;adequada
bt731561;0.9852;0.9959;0.9912;0.00;0.00;adequada
bt743941;0.9842;0.9972;0.9920;0.00;0.00;adequada
bt17891;0.9965;0.9993;0.9980;0.00;0.00;adequada
bt703841;0.9798;0.9964;0.9902;0.00;0.00;adequada
bt9092;0.9774;0.9950;0.9888;0.00;0.00;adequada
bt620961;0.9774;0.9950;0.9888;0.00;0.00;adequada
bt309341;0.9950;1.0000;0.9979;0.00;0.00;adequada
bt71881;0.9950;1.0001;0.9980;0.00;0.00;adequada
bt9101;0.9774;0.9950;0.9888;0.00;0.00;adequada
bt424151;0.9706;0.9937;0.9854;0.00;0.00;adequada
bt641781;0.9839;0.9952;0.9908;0.00;0.00;adequada
bt8871;0.9836;0.9970;0.9916;0.00;0.00;adequada
bt8881;0.9835;0.9969;0.9915;0.00;0.00;adequada
bt575631;0.9910;0.9994;0.9959;0.00;0.00;adequada
bt623101;0.9826;0.9961;0.9906;0.00;0.00;adequada
bt18561;0.9766;0.9930;0.9865;0.00;0.00;adequada
bt18571;0.9727;0.9921;0.9846;0.00;0.00;adequada
bt475871;0.9855;0.9959;0.9913;0.00;0.00;adequada
bt475931;0.9833;0.9967;0.9914;0.00;0.00;adequada
bt475941;0.9833;0.9967;0.9914;0.00;0.00;adequada
bt475951;0.9833;0.9967;0.9914;0.00;0.00;adequada
bt475961;0.9833;0.9967;0.9914;0.00;0.00;adequada
bt302821;0.9966;1.0010;0.9993;0.00;0.00;adequada
bt615311;0.9950;1.0006;0.9984;0.00;0.00;adequada
bt614881;0.9879;0.9988;0.9943;0.00;0.00;adequada
bt614951;0.9847;0.9976;0.9920;0.00;0.00;adequada
bt541511;0.9848;0.9973;0.9920;0.00;0.00;adequada
bt614901;0.9874;0.9986;0.9939;0.00;0.00;adequada
bt474681;0.9807;0.9961;0.9899;0.00;0.00;adequada
bt66541;0.9760;0.9927;0.9863;0.00;0.00;adequada
bt617961;0.9892;0.9990;0.9952;0.00;0.00;adequada
bt617971;0.9883;0.9987;0.9948;0.00;0.00;adequada
bt597431;0.9966;1.0010;0.9993;0.00;0.00;adequada
bt597441;0.9966;1.0010;0.9993;0.00;0.00;adequada
bt597451;0.9966;1.0010;0.9993;0.00;0.00;adequada
bt37471;0.9832;0.9948;0.9897;0.00;0.00;adequada
bt597591;0.9876;1.0168;1.0005;0.00;0.00;adequada
bt11401;0.9890;1.0172;1.0011;0.00;0.00;adequada
bt597601;0.9876;1.0168;1.0005;0.00;0.00;adequada
bt37491;0.9838;0.9950;0.9902;0.00;0.00;adequada
bt554561;0.9910;0.9993;0.9959;0.00;0.00;adequada
bt37861;0.9840;1.0219;0.9999;0.00;0.00;adequada
bt48571;0.9813;1.0039;0.9933;0.00;0.00;adequada
bt37871;0.9813;1.0039;0.9933;0.00;0.00;adequada
bt37831;0.9813;1.0039;0.9933;0.00;0.00;adequada
bt37801;0.9813;0.9960;0.9906;0.00;0.00;adequada
bt26661;0.9807;0.9960;0.9904;0.00;0.00;adequada
bt44361;0.9817;0.9961;0.9899;0.00;0.00;adequada
bt63281;0.9831;0.9963;0.9910;0.00;0.00;adequada
bt44341;0.9808;0.9959;0.9890;0.00;0.00;adequada
bt44351;0.9804;0.9958;0.9887;0.00;0.00;adequada
bt60181;0.9892;0.9988;0.9950;0.00;0.00;adequada
bt60191;0.9892;0.9988;0.9950;0.00;0.00;adequada
bt60221;0.9892;0.9988;0.9950;0.00;0.00;adequada
bt60231;0.9892;0.9988;0.9950;0.00;0.00;adequada
bt44391;0.9830;0.9963;0.9909;0.00;0.00;adequada
bt3381;0.9853;0.9973;0.9928;0.00;0.00;adequada
bt49541;0.9789;0.9934;0.9876;0.00;0.00;adequada
bt62131;0.9826;0.9963;0.9911;0.00;0.00;adequada
bt62341;0.9854;0.9975;0.9929;0.00;0.00;adequada
bt62351;0.9854;0.9975;0.9929;0.00;0.00;adequada
bt74801;0.9813;0.9961;0.9901;0.00;0.00;adequada
bt37541;0.9861;0.9979;0.9930;0.00;0.00;adequada
bt2501;0.9853;0.9973;0.9928;0.00;0.00;adequada
bt72031;0.9853;0.9973;0.9928;0.00;0.00;adequada
bt37751;0.9819;0.9945;0.9892;0.00;0.00;adequada
bt18511;0.9790;0.9956;0.9893;0.00;0.00;adequada
bt7351;0.9823;1.0083;0.9954;0.00;0.00;adequada
bt61381;0.9668;0.9925;0.9831;0.00;0.00;adequada
bt49571;0.9789;0.9934;0.9876;0.00;0.00;adequada
bt21911;0.9718;0.9937;0.9855;0.00;0.00;adequada
bt21901;0.9718;0.9937;0.9855;0.00;0.00;adequada
bt42471;0.9826;0.9963;0.9911;0.00;0.00;adequada
bt322201;0.9736;0.9941;0.9867;0.00;0.00;adequada
bt17971;0.9985;1.0016;1.0005;0.00;0.00;adequada
bt17901;0.9965;0.9993;0.9980;0.00;0.00;adequada
bt27761;0.9907;0.9993;0.9960;0.00;0.00;adequada
bt14022;0.9990;1.0017;1.0007;0.00;0.00;adequada
bt14021;0.9941;1.0003;0.9978;0.00;0.00;adequada
bt366861;0.9823;1.0083;0.9954;0.00;0.00;adequada
bt26401;0.9651;0.9920;0.9828;0.00;0.00;adequada
bt250121;0.9678;0.9926;0.9841;0.00;0.00;adequada
bt330981;0.9824;0.9968;0.9911;0.00;0.00;adequada
bt330991;0.9824;0.9968;0.9911;0.00;0.00;adequada
bt442091;0.9870;0.9979;0.9933;0.00;0.00;adequada
bt61401;0.9877;0.9989;0.9941;0.00;0.00;adequada
bt65611;0.9862;0.9976;0.9936;0.00;0.00;adequada
bt66551;0.9760;0.9927;0.9863;0.00;0.00;adequada
bt356501;0.9737;0.9941;0.9870;0.00;0.00;adequada
bt9141;0.9742;0.9942;0.9873;0.00;0.00;adequada
bt66521;0.9760;0.9927;0.9863;0.00;0.00;adequada
bt74151;0.9805;0.9965;0.9897;0.00;0.00;adequada
bt74071;0.9778;0.9990;0.9895;0.00;0.00;adequada
bt10501;0.9740;0.9942;0.9870;0.00;0.00;adequada
bt8941;0.9801;0.9960;0.9896;0.00;0.00;adequada
bt66511;0.9760;0.9927;0.9863;0.00;0.00;adequada
bt9131;0.9756;0.9945;0.9879;0.00;0.00;adequada
bt326261;0.9824;1.0045;0.9938;0.00;0.00;adequada
bt21341;0.9815;0.9949;0.9888;0.00;0.00;adequada
bt48591;0.9794;0.9955;0.9896;0.00;0.00;adequada
bt48621;0.9794;0.9955;0.9896;0.00;0.00;adequada
bt66582;0.9827;0.9966;0.9909;0.00;0.00;adequada
bt10511;0.9715;0.9935;0.9858;0.00;0.00;adequada
bt65621;0.9861;0.9976;0.9936;0.00;0.00;adequada
bt33441;0.9886;0.9988;0.9947;0.00;0.00;adequada
bt64601;0.9829;0.9950;0.9895;0.00;0.00;adequada
bt261;0.9915;0.9996;0.9963;0.00;0.00;adequada
bt21331;0.9814;0.9948;0.9888;0.00;0.00;adequada
bt151361;0.9863;0.9983;0.9931;0.00;0.00;adequada
bt68271;0.9812;0.9959;0.9906;0.00;0.00;adequada
bt29671;0.9843;0.9973;0.9916;0.00;0.00;adequada
bt71251;0.9844;0.9973;0.9922;0.00;0.00;adequada
bt71281;0.9844;0.9973;0.9922;0.00;0.00;adequada
bt71271;0.9840;0.9972;0.9919;0.00;0.00;adequada
bt313491;0.9888;0.9985;0.9945;0.00;0.00;adequada
bt71291;0.9844;0.9973;0.9922;0.00;0.00;adequada
bt71351;0.9834;0.9957;0.9909;0.00;0.00;adequada
bt71761;0.9873;1.0501;1.0115;4.17;0.00;precária
bt33461;0.9772;1.0039;0.9908;0.00;0.00;adequada
bt313501;0.9884;0.9983;0.9942;0.00;0.00;adequada
bt825611;0.9827;0.9949;0.9903;0.00;0.00;adequada
bt825621;0.9827;0.9949;0.9903;0.00;0.00;adequada
bt825631;0.9827;0.9948;0.9902;0.00;0.00;adequada
bt57541;0.9810;0.9945;0.9884;0.00;0.00;adequada
bt819871;0.9889;1.0028;0.9960;0.00;0.00;adequada
bt48321;0.9806;0.9942;0.9885;0.00;0.00;adequada
uc626695;0.9730;0.9851;0.9802;0.00;0.00;adequada
uc1627323;0.9757;0.9950;0.9878;0.00;0.00;adequada
uc1627342;0.9924;1.0002;0.9976;0.00;0.00;adequada
uc627343;0.9853;0.9978;0.9924;0.00;0.00;adequada
uc627344;0.9890;0.9985;0.9946;0.00;0.00;adequada
uc627336;0.9861;0.9960;0.9917;0.00;0.00;adequada
uc1626490;0.9919;0.9970;0.9945;0.00;0.00;adequada
uc3422706;0.9853;0.9972;0.9930;0.00;0.00;adequada
uc3425629;0.9854;0.9973;0.9931;0.00;0.00;adequada
uc3422597;0.9811;1.0038;0.9931;0.00;0.00;adequada
uc3405987;0.9712;1.0123;0.9920;0.00;0.00;adequada
uc3405843;0.9812;0.9960;0.9906;0.00;0.00;adequada
uc3405844;0.9840;1.0233;1.0003;0.00;0.00;adequada
uc3405845;0.9837;1.0219;0.9997;0.00;0.00;adequada
uc3405846;0.9816;0.9961;0.9908;0.00;0.00;adequada
uc3405847;0.9729;1.0128;0.9928;0.00;0.00;adequada
uc1626486;0.9936;1.0001;0.9976;0.00;0.00;adequada
uc1626487;0.9825;0.9961;0.9906;0.00;0.00;adequada
uc3405838;0.9660;0.9924;0.9834;0.00;0.00;adequada
uc626481;0.9836;0.9970;0.9916;0.00;0.00;adequada
uc626678;0.9768;0.9948;0.9884;0.00;0.00;adequada
uc626698;0.9875;0.9981;0.9936;0.00;0.00;adequada
uc626476;0.9679;0.9933;0.9841;0.00;0.00;adequada
uc1627321;0.9917;1.0000;0.9972;0.00;0.00;adequada
uc1607326;0.9757;0.9923;0.9860;0.00;0.00;adequada
uc1607319;0.9802;0.9958;0.9886;0.00;0.00;adequada
uc1607316;0.9741;0.9907;0.9843;0.00;0.00;adequada
uc1607308;0.9811;0.9961;0.9900;0.00;0.00;adequada
uc1625170;0.9878;0.9985;0.9940;0.00;0.00;adequada
uc1621994;0.9927;0.9999;0.9971;0.00;0.00;adequada
uc1607318;0.9824;0.9962;0.9904;0.00;0.00;adequada
uc1620360;0.9939;0.9997;0.9972;0.00;0.00;adequada
uc1620373;0.9822;0.9946;0.9898;0.00;0.00;adequada
uc1607302;0.9820;0.9945;0.9895;0.00;0.00;adequada
uc1607304;0.9798;0.9937;0.9880;0.00;0.00;adequada
uc1607305;0.9788;0.9935;0.9874;0.00;0.00;adequada
uc1607306;0.9797;0.9958;0.9893;0.00;0.00;adequada
uc1607299;0.9828;0.9946;0.9901;0.00;0.00;adequada
uc1607297;0.9858;0.9977;0.9930;0.00;0.00;adequada
uc1607298;0.9836;0.9951;0.9906;0.00;0.00;adequada
uc1607289;0.9877;0.9982;0.9944;0.00;0.00;adequada
uc1607290;0.9878;0.9983;0.9945;0.00;0.00;adequada
uc1607291;0.9860;0.9978;0.9931;0.00;0.00;adequada
uc1607292;0.9812;0.9962;0.9901;0.00;0.00;adequada
uc1607280;0.9793;0.9938;0.9879;0.00;0.00;adequada
uc1607282;0.9861;0.9979;0.9930;0.00;0.00;adequada
uc1607283;0.9719;0.9919;0.9842;0.00;0.00;adequada
uc1607284;0.9800;0.9937;0.9883;0.00;0.00;adequada
uc1607285;0.9762;0.9930;0.9863;0.00;0.00;adequada
uc1607287;0.9782;0.9954;0.9889;0.00;0.00;adequada
uc1607288;0.9837;0.9951;0.9906;0.00;0.00;adequada
uc1607279;0.9819;0.9945;0.9891;0.00;0.00;adequada
uc1607355;0.9834;0.9948;0.9902;0.00;0.00;adequada
uc1607357;0.9862;0.9979;0.9928;0.00;0.00;adequada
uc1607358;0.9854;0.9975;0.9924;0.00;0.00;adequada
uc1607276;0.9946;0.9998;0.9980;0.00;0.00;adequada
uc1607277;0.9965;0.9993;0.9980;0.00;0.00;adequada
uc1607278;0.9981;1.0015;1.0003;0.00;0.00;adequada
uc1607272;0.9813;1.0080;0.9950;0.00;0.00;adequada
uc1607273;0.9983;1.0015;1.0000;0.00;0.00;adequada
uc1607353;0.9868;0.9978;0.9934;0.00;0.00;adequada
uc1607328;0.9746;0.9921;0.9854;0.00;0.00;adequada
uc1607347;0.9852;1.0789;1.0193;4.17;25.00;crítica
uc1607349;0.9889;1.0028;0.9960;0.00;0.00;adequada
uc1607350;0.9847;1.0345;1.0046;0.00;0.00;adequada
uc1107341;0.9692;0.9930;0.9847;0.00;0.00;adequada
uc1107342;0.9775;0.9931;0.9869;0.00;0.00;adequada
uc1107340;0.9681;0.9928;0.9837;0.00;0.00;adequada
uc1107334;0.9826;0.9963;0.9911;0.00;0.00;adequada
uc1107333;0.9734;0.9940;0.9866;0.00;0.00;adequada
uc1105833;0.9826;0.9966;0.9908;0.00;0.00;adequada
uc1107330;0.9665;0.9925;0.9830;0.00;0.00;adequada
uc1607265;0.9697;0.9935;0.9850;0.00;0.00;adequada
uc1607268;0.9923;0.9997;0.9967;0.00;0.00;adequada
uc1607252;0.9797;0.9961;0.9894;0.00;0.00;adequada
uc1605991;0.9838;0.9970;0.9913;0.00;0.00;adequada
uc1605996;0.9823;1.0083;0.9954;0.00;0.00;adequada
uc1606000;0.9795;0.9936;0.9881;0.00;0.00;adequada
uc1607255;0.9823;0.9945;0.9895;0.00;0.00;adequada
uc1607257;0.9845;0.9972;0.9918;0.00;0.00;adequada
uc1607258;0.9797;0.9961;0.9894;0.00;0.00;adequada
uc1124041;0.9746;0.9946;0.9869;0.00;0.00;adequada
uc1124340;0.9788;0.9934;0.9875;0.00;0.00;adequada
uc1121173;0.9736;0.9941;0.9867;0.00;0.00;adequada
uc1107345;0.9794;0.9934;0.9881;0.00;0.00;adequada
uc605816;0.9773;1.0234;0.9969;0.00;0.00;adequada
uc605812;0.9631;0.9896;0.9801;0.00;0.00;adequada
uc605813;0.9868;0.9961;0.9921;0.00;0.00;adequada
uc605815;0.9810;1.0027;0.9919;0.00;0.00;adequada
uc609684;0.9897;0.9989;0.9950;0.00;0.00;adequada
uc609685;0.9880;0.9983;0.9938;0.00;0.00;adequada
uc609686;0.9903;0.9991;0.9954;0.00;0.00;adequada
uc609688;0.9821;1.0070;0.9944;0.00;0.00;adequada
uc621168;0.9842;0.9973;0.9916;0.00;0.00;adequada
uc621171;0.9809;0.9946;0.9884;0.00;0.00;adequada
uc605808;0.9908;0.9993;0.9958;0.00;0.00;adequada
uc605809;0.9773;0.9891;0.9842;0.00;0.00;adequada
uc605810;0.9881;0.9982;0.9939;0.00;0.00;adequada
uc605970;0.9842;0.9970;0.9921;0.00;0.00;adequada
uc605803;0.9861;0.9973;0.9927;0.00;0.00;adequada
uc605804;0.9883;0.9983;0.9941;0.00;0.00;adequada
uc605806;0.9855;0.9957;0.9913;0.00;0.00;adequada
uc605807;0.9674;0.9907;0.9821;0.00;0.00;adequada
uc605801;0.9836;0.9944;0.9900;0.00;0.00;adequada
uc607384;0.9810;0.9945;0.9884;0.00;0.00;adequada
uc607385;0.9755;0.9965;0.9878;0.00;0.00;adequada
uc607387;0.9863;0.9960;0.9918;0.00;0.00;adequada
uc609682;0.9733;0.9940;0.9868;0.00;0.00;adequada
uc609683;0.9844;0.9974;0.9921;0.00;0.00;adequada
uc624033;0.9938;1.0001;0.9974;0.00;0.00;adequada
uc625156;0.9862;0.9973;0.9927;0.00;0.00;adequada
uc625624;0.9774;0.9931;0.9870;0.00;0.00;adequada
uc625625;0.9901;0.9990;0.9953;0.00;0.00;adequada
uc607366;0.9772;0.9891;0.9841;0.00;0.00;adequada
uc607367;0.9878;0.9981;0.9937;0.00;0.00;adequada
uc607377;0.9886;0.9985;0.9942;0.00;0.00;adequada
uc607382;0.9821;0.9967;0.9910;0.00;0.00;adequada
uc606114;0.9823;0.9968;0.9901;0.00;0.00;adequada
uc606117;0.9837;0.9957;0.9904;0.00;0.00;adequada
uc606120;0.9830;0.9954;0.9900;0.00;0.00;adequada
uc623015;0.9764;0.9881;0.9832;0.00;0.00;adequada
uc623432;0.9811;0.9959;0.9905;0.00;0.00;adequada
uc623433;0.9668;0.9906;0.9819;0.00;0.00;adequada
uc624028;0.9831;0.9966;0.9912;0.00;0.00;adequada
uc605873;0.9861;0.9975;0.9935;0.00;0.00;adequada
uc623007;0.9869;0.9962;0.9922;0.00;0.00;adequada
uc605867;0.9803;0.9971;0.9899;0.00;0.00;adequada
uc606147;0.9864;1.0545;1.0126;16.67;0.00;precária
uc606148;0.9954;1.0003;0.9983;0.00;0.00;adequada
uc606150;0.9943;0.9983;0.9966;0.00;0.00;adequada
uc606109;0.9813;0.9948;0.9887;0.00;0.00;adequada
uc606110;0.9803;0.9944;0.9880;0.00;0.00;adequada
uc606111;0.9836;0.9956;0.9904;0.00;0.00;adequada
uc622720;0.9804;0.9959;0.9899;0.00;0.00;adequada
uc622722;0.9818;1.0009;0.9917;0.00;0.00;adequada
uc622777;0.9965;1.0010;0.9992;0.00;0.00;adequada
uc623004;0.9766;1.0064;0.9914;0.00;0.00;adequada
uc606103;0.9836;0.9971;0.9911;0.00;0.00;adequada
uc606139;0.9883;1.0114;0.9989;0.00;0.00;adequada
uc606141;0.9815;1.0151;0.9976;0.00;0.00;adequada
uc606143;0.9901;1.0190;1.0021;0.00;0.00;adequada
uc605921;0.9837;0.9970;0.9916;0.00;0.00;adequada
uc622713;0.9854;0.9958;0.9912;0.00;0.00;adequada
uc622714;0.9818;0.9969;0.9912;0.00;0.00;adequada
uc605915;0.9832;0.9956;0.9908;0.00;0.00;adequada
uc605993;0.9854;0.9976;0.9924;0.00;0.00;adequada
uc606101;0.9832;0.9948;0.9897;0.00;0.00;adequada
uc606102;0.9828;0.9940;0.9892;0.00;0.00;adequada
uc622273;0.9872;1.0167;1.0003;0.00;0.00;adequada
uc622703;0.9730;0.9851;0.9802;0.00;0.00;adequada
uc605989;0.9888;0.9985;0.9943;0.00;0.00;adequada
uc605990;0.9648;0.9900;0.9809;0.00;0.00;adequada
uc606130;0.9863;0.9983;0.9930;0.00;0.00;adequada
uc606132;0.9812;0.9946;0.9886;0.00;0.00;adequada
uc605914;1.0007;1.0022;1.0016;0.00;0.00;adequada
uc622257;0.9872;0.9985;0.9937;0.00;0.00;adequada
uc622258;0.9846;0.9976;0.9919;0.00;0.00;adequada
uc622267;0.9833;0.9967;0.9914;0.00;0.00;adequada
uc622270;0.9920;0.9995;0.9962;0.00;0.00;adequada
uc605905;0.9805;0.9941;0.9881;0.00;0.00;adequada
uc605909;0.9881;0.9988;0.9942;0.00;0.00;adequada
uc605910;0.9838;0.9955;0.9904;0.00;0.00;adequada
uc605911;0.9850;0.9960;0.9912;0.00;0.00;adequada
uc606128;0.9851;0.9978;0.9923;0.00;0.00;adequada
uc639387;0.9689;0.9929;0.9847;0.00;0.00;adequada
uc605823;0.9754;0.9926;0.9860;0.00;0.00;adequada
uc605824;0.9835;0.9969;0.9915;0.00;0.00;adequada
uc605904;0.9851;0.9958;0.9911;0.00;0.00;adequada
uc621999;0.9866;0.9978;0.9931;0.00;0.00;adequada
uc639553;0.9812;0.9948;0.9886;0.00;0.00;adequada
uc1239552;0.9827;0.9949;0.9903;0.00;0.00;adequada
uc605817;0.9841;0.9972;0.9920;0.00;0.00;adequada
uc605819;0.9818;1.0021;0.9928;0.00;0.00;adequada
uc605820;0.9797;0.9959;0.9894;0.00;0.00;adequada
uc605821;0.9771;0.9930;0.9869;0.00;0.00;adequada
uc605822;0.9652;0.9923;0.9824;0.00;0.00;adequada
uc639280;0.9855;1.0098;0.9962;0.00;0.00;adequada
uc605898;0.9861;0.9961;0.9917;0.00;0.00;adequada
uc605901;0.9881;0.9985;0.9941;0.00;0.00;adequada
uc605902;0.9818;0.9946;0.9887;0.00;0.00;adequada
uc605982;0.9671;0.9906;0.9820;0.00;0.00;adequada
uc605985;0.9805;0.9965;0.9897;0.00;0.00;adequada
uc605988;0.9632;0.9896;0.9802;0.00;0.00;adequada
uc606126;0.9876;1.0023;0.9947;0.00;0.00;adequada
uc606127;0.9818;0.9948;0.9891;0.00;0.00;adequada
uc605896;0.9794;0.9902;0.9855;0.00;0.00;adequada
uc606121;0.9809;0.9945;0.9883;0.00;0.00;adequada
uc606122;0.9760;0.9930;0.9854;0.00;0.00;adequada
uc606123;0.9865;1.0136;0.9974;0.00;0.00;adequada
uc606124;0.9875;0.9985;0.9941;0.00;0.00;adequada
uc605825;0.9776;0.9953;0.9884;0.00;0.00;adequada
uc623427;0.9865;1.0136;0.9974;0.00;0.00;adequada
uc609687;0.9910;0.9993;0.9959;0.00;0.00;adequada
uc622709;0.9805;0.9961;0.9898;0.00;0.00;adequada
uc639277;0.9774;0.9931;0.9870;0.00;0.00;adequada
uc1139390;0.9826;0.9948;0.9902;0.00;0.00;adequada
uc605863;0.9776;0.9989;0.9894;0.00;0.00;adequada
uc605864;0.9756;0.9965;0.9879;0.00;0.00;adequada
uc605865;0.9783;0.9991;0.9898;0.00;0.00;adequada
uc605859;0.9863;0.9976;0.9937;0.00;0.00;adequada
uc638617;0.9742;0.9994;0.9882;0.00;0.00;adequada
uc1138614;0.9781;0.9954;0.9885;0.00;0.00;adequada
uc605855;0.9769;0.9948;0.9885;0.00;0.00;adequada
uc1638606;0.9854;0.9985;0.9944;0.00;0.00;adequada
uc1638954;0.9899;0.9995;0.9960;0.00;0.00;adequada
uc605828;0.9713;0.9935;0.9857;0.00;0.00;adequada
uc605829;0.9826;0.9963;0.9912;0.00;0.00;adequada
uc605834;0.9645;0.9918;0.9825;0.00;0.00;adequada
uc605835;0.9646;0.9919;0.9826;0.00;0.00;adequada
uc605836;0.9406;0.9866;0.9717;0.00;0.00;adequada
uc605827;0.9711;0.9935;0.9857;0.00;0.00;adequada
uc1607303;0.9809;0.9959;0.9902;0.00;0.00;adequada
uc627337;0.9817;0.9966;0.9908;0.00;0.00;adequada
uc637705;0.9827;0.9936;0.9892;0.00;0.00;adequada
uc1637704;1.0015;1.0024;1.0021;0.00;0.00;adequada
uc637912;0.9828;0.9963;0.9913;0.00;0.00;adequada
uc637576;0.9864;1.0145;0.9977;0.00;0.00;adequada
uc637356;0.9852;0.9975;0.9921;0.00;0.00;adequada
uc637918;0.9844;1.0140;0.9971;0.00;0.00;adequada
uc637360;0.9808;0.9946;0.9884;0.00;0.00;adequada
uc637399;0.9768;0.9887;0.9837;0.00;0.00;adequada
uc637397;0.9761;0.9928;0.9864;0.00;0.00;adequada
uc1137150;0.9824;0.9963;0.9910;0.00;0.00;adequada
uc636933;0.9874;1.0087;0.9977;0.00;0.00;adequada
uc605908;0.9885;0.9988;0.9946;0.00;0.00;adequada
uc635963;0.9832;0.9955;0.9901;0.00;0.00;adequada
uc635543;0.9837;0.9954;0.9912;0.00;0.00;adequada
uc635966;0.9833;0.9948;0.9908;0.00;0.00;adequada
uc627328;0.9625;0.9895;0.9799;0.00;0.00;adequada
uc635550;0.9846;0.9959;0.9911;0.00;0.00;adequada
uc635862;0.9829;1.0044;0.9931;0.00;0.00;adequada
uc1635694;1.0004;1.0020;1.0014;0.00;0.00;adequada
uc3435739;0.9794;1.0074;0.9936;0.00;0.00;adequada
uc1635060;0.9880;0.9987;0.9946;0.00;0.00;adequada
uc1607271;0.9909;0.9994;0.9960;0.00;0.00;adequada
uc605884;0.9847;0.9974;0.9924;0.00;0.00;adequada
uc1609690;0.9943;1.0002;0.9977;0.00;0.00;adequada
uc1134165;0.9683;0.9929;0.9838;0.00;0.00;adequada
uc634166;0.9872;0.9983;0.9936;0.00;0.00;adequada
uc699990;0.9767;0.9883;0.9835;0.00;0.00;adequada
uc1633896;0.9906;0.9993;0.9959;0.00;0.00;adequada
uc3433894;0.9826;0.9964;0.9913;0.00;0.00;adequada
uc1633892;0.9925;1.0002;0.9977;0.00;0.00;adequada
uc633672;0.9910;0.9993;0.9959;0.00;0.00;adequada
uc1633671;0.9805;1.0170;0.9973;0.00;0.00;adequada
uc633056;0.9842;0.9973;0.9919;0.00;0.00;adequada
uc1632306;0.9896;0.9991;0.9953;0.00;0.00;adequada
uc632607;0.9388;0.9837;0.9687;0.00;0.00;adequada
uc632613;0.9791;0.9962;0.9899;0.00;0.00;adequada
uc3432407;0.9810;1.0038;0.9931;0.00;0.00;adequada
uc1632402;0.9716;0.9939;0.9858;0.00;0.00;adequada
uc1132019;0.9781;0.9954;0.9885;0.00;0.00;adequada
uc632016;0.9877;0.9981;0.9937;0.00;0.00;adequada
uc1132015;0.9725;0.9939;0.9858;0.00;0.00;adequada
uc1132012;0.9845;0.9973;0.9922;0.00;0.00;adequada
uc1131858;0.9695;0.9931;0.9848;0.00;0.00;adequada
uc631859;0.9875;0.9980;0.9936;0.00;0.00;adequada
uc1631852;0.9857;0.9977;0.9924;0.00;0.00;adequada
uc631391;0.9754;0.9866;0.9821;0.00;0.00;adequada
uc1130761;0.9644;0.9918;0.9824;0.00;0.00;adequada
uc1630759;0.9694;0.9934;0.9848;0.00;0.00;adequada
uc630758;0.9828;1.0185;0.9986;0.00;0.00;adequada
uc630753;0.9747;0.9922;0.9860;0.00;0.00;adequada
uc629428;0.9883;0.9980;0.9940;0.00;0.00;adequada
uc1629639;0.9955;1.0005;0.9984;0.00;0.00;adequada
uc1229546;0.9777;0.9956;0.9884;0.00;0.00;adequada
uc628768;0.9841;0.9968;0.9921;0.00;0.00;adequada
uc628757;0.9949;0.9999;0.9978;0.00;0.00;adequada
uc628766;0.9863;0.9983;0.9930;0.00;0.00;adequada
uc628753;0.9950;1.0006;0.9984;0.00;0.00;adequada
uc627346;0.9867;0.9984;0.9933;0.00;0.00;adequada
uc1628760;0.9954;1.0006;0.9984;0.00;0.00;adequada
uc1629422;0.9840;0.9952;0.9908;0.00;0.00;adequada
uc626699;0.9883;0.9990;0.9946;0.00;0.00;adequada
